diachi;phanloai;dientich;gia;goitin;giogiactudo;tulanh;maylanh;Daydunoithat;maygiat;gac;khongchungchu
Trương Công Định, Phường 7, Thành Phố Vũng Tàu, Bà Rịa - Vũng Tàu - ; None; 35 m; None; Tin thường; 0; 1; 1; 1; 1; 1; 1
Đường Phạm Văn Bạch, Phường 12, Quận Gò Vấp, Hồ Chí Minh - ; None; 24 m; None; Tin thường; 0; 0; 0; 1; 1; 0; 0
Đường Phạm Văn Chiêu, Phường 8, Quận Gò Vấp, Hồ Chí Minh - ; None; 27 m; None; Tin thường; 1; 0; 0; 0; 0; 0; 1
527/19 Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 1; 0; 1; 1; 0
463b/54b Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 1; 1; 1; 1; 0; 0; 0
Đường Âu Dương Lân, Phường 3, Quận 8, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 0; 1; 1; 0; 1
Cách Mạng Tháng Tám, Phường 7, Quận Tân Bình, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 0; 0; 0; 1; 1; 0
463b Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 0; 0; 0; 0; 1
Đường Cách Mạng Tháng Tám, Phường 13, Quận 10, Hồ Chí Minh - ; None; 30 m; None; Tin thường; 0; 1; 0; 0; 0; 0; 1
Lý Thường Kiệt, Phường 7, Quận Tân Bình, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 0; 1; 1; 1; 0; 1
Đường Lê Văn Sỹ, Phường 14, Quận 3, Hồ Chí Minh - ; None; 22 m; None; Tin thường; 1; 1; 1; 1; 1; 0; 0
Lò Lu, Phường Trường Thạnh, Quận 9, Hồ Chí Minh - ; None; 120 m; None; Tin thường; 1; 0; 0; 1; 0; 1; 1
36/11A Phạm Hữu Lầu, Phường Phú Mỹ, Quận 7, Hồ Chí Minh - ; None; 35 m; None; Tin thường; 0; 1; 1; 0; 1; 1; 0
Đường Phạm Văn Chiêu, Phường 8, Quận Gò Vấp, Hồ Chí Minh - ; None; 26 m; None; Tin thường; 1; 0; 1; 1; 0; 0; 0
93 Gò Dầu, Phường Tân Quý, Quận Tân Phú, Hồ Chí Minh - ; None; 28 m; None; Tin thường; 0; 0; 0; 0; 1; 1; 1
144 Đường số 30, Phường 6, Quận Gò Vấp, Hồ Chí Minh - ; None; 25 m; None; Tin miễn phí; 0; 0; 1; 1; 1; 0; 0
208 Đường N7, Phường Trường Thạnh, Quận 9, Hồ Chí Minh - ; None; 25 m; None; Tin thường; 1; 0; 0; 0; 0; 1; 0
136/27 Đường Nguyễn Thị Tần, Phường 2, Quận 8, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 0; 1; 1; 1; 1; 1; 0
127/2/29 Bình Lợi, Phường 13, Quận Bình Thạnh, Hồ Chí Minh - ; None; 20 m; None; Tin thường; 1; 1; 1; 0; 0; 1; 1
Ngách 25 ngõ Thổ Quan Khâm Thiên, Phường Thổ Quan, Quận Đống Đa, Hà Nội - ; None; 28 m; None; Tin miễn phí; 1; 1; 1; 0; 1; 1; 0
