Đường,Phường,Quận/Huyện,Thành phố,Hashtag,Gói tin,Loại phòng,Diện tích (m²),Giá phòng (triệu/tháng)
856 Phố Tạ Quang Bửu,5,8,Hồ Chí Minh,293551,Tin miễn phí,Phòng trọ Quận 8, 25m,3.8
223  Phạm Văn Bạch,15,Tân Bình,Hồ Chí Minh,647935,Tin thường,Phòng trọ Quận Tân Bình, 25m,3.5
,13,Tân Bình,Hồ Chí Minh,661910,Tin thường,Phòng trọ Quận Tân Bình, 30m,3.3
,Thạnh Mỹ Lợi,2,Hồ Chí Minh,663962,Tin thường,Phòng trọ Quận 2, 30m,3.4
Nguyễn Thị Định,Bình Trưng Tây,2,Hồ Chí Minh,663963,Tin thường,Phòng trọ Quận 2, 32m,4.5
711  Quốc lộ 1A,Thạnh Xuân,12,Hồ Chí Minh,639025,Tin thường,Phòng trọ Quận 12, 35m,3
Cộng Hòa,4,Tân Bình,Hồ Chí Minh,663922,Tin thường,Cho thuê căn hộ mini Quận Tân Bình, 30m,5.5
,Bình Hưng Hòa B,Bình Tân,Hồ Chí Minh,663727,Tin miễn phí,Cho thuê căn hộ Quận Bình Tân, 38m,3.4
,3,4,Hồ Chí Minh,663921,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 4, 40m,6.5
Trường Chinh,15,Tân Bình,Hồ Chí Minh,644645,Tin thường,Phòng trọ Quận Tân Bình, 30m,5
Cộng Hòa,13,Tân Bình,Hồ Chí Minh,644738,Tin thường,Phòng trọ Quận Tân Bình, 25m,4.5
35/13  Đại Nghĩa,6,Tân Bình,Hồ Chí Minh,584579,Tin thường,Phòng trọ Quận Tân Bình, 12m,1.5
28  Dương Quảng Hàm,5,Gò Vấp,Hồ Chí Minh,663923,Tin miễn phí,Phòng trọ Quận Gò Vấp, 28m,4
21Bis/5  Điện Biên Phủ,25,Bình Thạnh,Hồ Chí Minh,663924,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 25m,2.6
Âu Cơ,Phú Trung,Tân Phú,Hồ Chí Minh,663881,Tin thường,Phòng trọ Quận Tân Phú, 20m,4
Tân Kỳ Tân Quý,Sơn Kỳ,Tân Phú,Hồ Chí Minh,663812,Tin thường,Phòng trọ Quận Tân Phú, 25m,4.2
493  Cách Mạng Tháng Tám,13,10,Hồ Chí Minh,655652,Tin thường,Phòng trọ Quận 10, 24m,3
416/34  Nguyễn Đình Chiểu,4,3,Hồ Chí Minh,663663,Tin thường,Phòng trọ Quận 3, 20m,3.2
,15,10,Hồ Chí Minh,656538,Tin thường,Phòng trọ Quận 10, 12m,1.9
474/41  Nguyễn Tri Phương,9,10,Hồ Chí Minh,647847,Tin thường,Phòng trọ Quận 10, 16m,3.5
Nguyễn Văn Cừ,Cầu Ông Lãnh,1,Hồ Chí Minh,663854,Tin thường,Phòng trọ Quận 1, 25m,4
,Tân Phong,7,Hồ Chí Minh,656825,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 45m,7
Nguyễn Trãi,Nguyễn Cư Trinh,1,Hồ Chí Minh,663857,Tin thường,Phòng trọ Quận 1, 33m,5.5
,8,4,Hồ Chí Minh,663853,Tin thường,Cho thuê nhà Quận 4, 40m,8
210  Cô Giang,Cô Giang,1,Hồ Chí Minh,663855,Tin thường,Phòng trọ Quận 1, 25m,4.5
71  Khuông Việt,Phú Trung,Tân Phú,Hồ Chí Minh,663858,Tin thường,Phòng trọ Quận Tân Phú, 35m,1.5
736  Cách Mạng Tháng Tám,5,Tân Bình,Hồ Chí Minh,659500,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Bình, 25m,5
,14,10,Hồ Chí Minh,663859,Tin miễn phí,Phòng trọ Quận 10, 14m,3.2
Nguyễn Thị Thập,Bình Thuận,7,Hồ Chí Minh,654420,Tin thường,Phòng trọ Quận 7, 35m,6
385/66  Lê Văn Thọ,9,Gò Vấp,Hồ Chí Minh,663860,Tin miễn phí,Phòng trọ Quận Gò Vấp, 25m,4.3
40  Âu Cơ,10,Tân Bình,Hồ Chí Minh,663862,Tin miễn phí,Phòng trọ Quận Tân Bình, 25m,4
395  Phạm Hữu Lầu,Xã Phước Kiển,Huyện Nhà Bè,Hồ Chí Minh,663861,Tin miễn phí,Cho thuê nhà Huyện Nhà Bè, 100m,15
55  Nguyễn Tri Phương,6,5,Hồ Chí Minh,663864,Tin thường,Phòng trọ Quận 5, 30m,5.2
Mã Lò,Bình Trị Đông A,Bình Tân,Hồ Chí Minh,663851,Tin thường,Phòng trọ Quận Bình Tân, 35m,4
,Nguyễn Cư Trinh,1,Hồ Chí Minh,663863,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 28m,5.5
Phố Lý Thường Kiệt,15,10,Hồ Chí Minh,663866,Tin thường,Phòng trọ Quận 10, 25m,4.5
1/16B  Đồ Sơn,4,Tân Bình,Hồ Chí Minh,663867,Tin miễn phí,Phòng trọ Quận Tân Bình, 20m,4.5
Nguyễn Hữu Thọ,Tân Phong,7,Hồ Chí Minh,630568,Tin thường,Phòng trọ Quận 7, 20m,4.3
,Trung Hòa,Cầu Giấy,Hồ Chí Minh,605313,Tin thường,Cho thuê căn hộ mini Quận Cầu Giấy, 25m,5.5
,Trung Hòa,Cầu Giấy,Hồ Chí Minh,605632,Tin thường,Cho thuê căn hộ mini Quận Cầu Giấy, 25m,5.95
493A/73/3  Cách Mạng Tháng Tám,13,10,Hồ Chí Minh,59622,Tin thường,Phòng trọ Quận 10, 15m,2.6
D4,Tân Hưng,7,Hồ Chí Minh,620950,Tin thường,Phòng trọ Quận 7, 16m,5.2
711  Quốc lộ 1A,Thạnh Xuân,12,Hồ Chí Minh,583367,Tin thường,Phòng trọ Quận 12, 35m,3
204  Trần Duy Hưng,Trung Hòa,Cầu Giấy,Hồ Chí Minh,605327,Tin thường,Cho thuê căn hộ dịch vụ Quận Cầu Giấy, 25m,7.5
,Tân Phong,7,Hồ Chí Minh,635130,Tin thường,Phòng trọ Quận 7, 20m,3.6
656  Hà Huy Giáp,Thạnh Xuân,12,Hồ Chí Minh,589170,Tin thường,Phòng trọ Quận 12, 35m,3
,9,Tân Bình,Hồ Chí Minh,628444,Tin thường,Phòng trọ Quận Tân Bình, 16m,2
26  số 30,6,Gò Vấp,Hồ Chí Minh,662828,Tin miễn phí,Phòng trọ Quận Gò Vấp, 18m,2.2
824/26  Sư Vạn Hạnh,12,10,Hồ Chí Minh,663753,Tin miễn phí,Phòng trọ Quận 10, 18m,2.2
44  Hà Bổng,Phước Mỹ,Sơn Trà,Hồ Chí Minh,663865,Tin miễn phí,Phòng trọ Quận Sơn Trà, 25m,3
,Hiệp Phú,9,Hồ Chí Minh,663392,Tin thường,Phòng trọ Quận 9, 35m,1.4
136  Nguyễn Thượng Hiền,1,Gò Vấp,Hồ Chí Minh,662845,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.7
,Phú Hữu,9,Hồ Chí Minh,616442,Tin thường,Tìm người ở ghép Quận 9, 73m,1.6
,4,8,Hồ Chí Minh,663444,Tin thường,Phòng trọ Quận 8, 35m,1.9
56  Phạm Thị Tánh,4,8,Hồ Chí Minh,663446,Tin thường,Phòng trọ Quận 8, 35m,1.9
Trường Chinh,13,Tân Bình,Hồ Chí Minh,662855,Tin thường,Phòng trọ Quận Tân Bình, 35m,1.5
Trần Thị Nghĩ,7,Gò Vấp,Hồ Chí Minh,663081,Tin thường,Phòng trọ Quận Gò Vấp, 35m,2
,13,Gò Vấp,Hồ Chí Minh,663775,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.7
Lâm Văn Bền,Tân Kiểng,7,Hồ Chí Minh,655228,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 40m,8
,Xã Phước Kiển,Huyện Nhà Bè,Hồ Chí Minh,618204,Tin thường,Phòng trọ Huyện Nhà Bè, 20m,5
43  An Bình,6,5,Hồ Chí Minh,663822,Tin miễn phí,Phòng trọ Quận 5, 6m,1.6
số 9,Tân Phong,7,Hồ Chí Minh,663827,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 7, 30m,7
,Bến Nghé,1,Hồ Chí Minh,663823,Tin thường,Phòng trọ Quận 1, 30m,5.5
163/12/7y Tô Hiến Thành  Tô Hiến Thành,13,10,Hồ Chí Minh,28109,Tin thường,Phòng trọ Quận 10, 25m,3
32/42  Bùi Đình Túy,12,Bình Thạnh,Hồ Chí Minh,663829,Tin miễn phí,Cho thuê nhà Quận Bình Thạnh, 220m,25
,An Lạc,Bình Tân,Hồ Chí Minh,654030,Tin thường,Cho thuê nhà Quận Bình Tân, 90m,14
488 Phố Lê Trọng Tấn,Tây Thạnh,Tân Phú,Hồ Chí Minh,656697,Tin thường,Phòng trọ Quận Tân Phú, 40m,1.5
28  Mai Chí Thọ,An Phú,2,Hồ Chí Minh,663830,Tin miễn phí,Tìm người ở ghép Quận 2, 30m,3.3
Điện Biên Phủ,15,Bình Thạnh,Hồ Chí Minh,663831,Tin miễn phí,Tìm người ở ghép Quận Bình Thạnh, 30m,1.2
,11,11,Hồ Chí Minh,656480,Tin thường,Phòng trọ Quận 11, 40m,1.5
50  số 21,8,Gò Vấp,Hồ Chí Minh,663833,Tin miễn phí,Phòng trọ Quận Gò Vấp, 25m,4.1
32  Lê Thị Hồng,17,Gò Vấp,Hồ Chí Minh,643080,Tin thường,Phòng trọ Quận Gò Vấp, 40m,1
68  Trần Quang Khải,Tân Định,1,Hồ Chí Minh,663834,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 30m,6.3
153/8/26 Nguyễn Thông giá rẻ  Nguyễn Thông,9,3,Hồ Chí Minh,277270,Tin thường,Phòng trọ Quận 3, 25m,3.3
Nguyễn Thái Sơn,5,Gò Vấp,Hồ Chí Minh,628415,Tin thường,Phòng trọ Quận Gò Vấp, 20m,2.8
4/128  Mễ Trì Hạ,Mễ Trì,Nam Từ Liêm,Hồ Chí Minh,663695,Tin thường,Phòng trọ Quận Nam Từ Liêm, 25m,3
,Xuân La,Tây Hồ,Hồ Chí Minh,663835,Tin miễn phí,Tìm người ở ghép Quận Tây Hồ, 88m,4
Nguyễn Kiệm,3,Gò Vấp,Hồ Chí Minh,657661,Tin thường,Phòng trọ Quận Gò Vấp, 20m,3.3
Nguyễn Thái Sơn,5,Gò Vấp,Hồ Chí Minh,634479,Tin thường,Phòng trọ Quận Gò Vấp, 25m,3.9
Bùi Hữu Nghĩa,2,Bình Thạnh,Hồ Chí Minh,592668,Tin thường,Phòng trọ Quận Bình Thạnh, 20m,3.2
Đinh Bộ Lĩnh,26,Bình Thạnh,Hồ Chí Minh,291227,Tin thường,Phòng trọ Quận Bình Thạnh, 20m,3.4
33/14  Nguyễn Công Hoan,7,Phú Nhuận,Hồ Chí Minh,594288,Tin thường,Phòng trọ Quận Phú Nhuận, 20m,3.6
Dương Quảng Hàm,6,Gò Vấp,Hồ Chí Minh,663838,Tin miễn phí,Phòng trọ Quận Gò Vấp, 25m,4.5
Nguyễn Kiệm,3,Gò Vấp,Hồ Chí Minh,663839,Tin miễn phí,Phòng trọ Quận Gò Vấp, 17m,3.8
số 71,Tân Phong,7,Hồ Chí Minh,663840,Tin thường,Phòng trọ Quận 7, 25m,2.8
286  Tô Hiến Thành,15,10,Hồ Chí Minh,643511,Tin thường,Phòng trọ Quận 10, 40m,1.8
213/34  Hồng Lạc,10,Tân Bình,Hồ Chí Minh,606808,Tin miễn phí,Phòng trọ Quận Tân Bình, 64m,3.5
,5,Gò Vấp,Hồ Chí Minh,651123,Tin thường,Phòng trọ Quận Gò Vấp, 20m,3.2
,24,Bình Thạnh,Hồ Chí Minh,115543,Tin thường,Phòng trọ Quận Bình Thạnh, 20m,3.2
81  Tân Thới Nhất 1,Tân Thới Nhất,12,Hồ Chí Minh,663847,Tin thường,Phòng trọ Quận 12, 25m,3.7
113  số 14,Xã Phong Phú,Huyện Bình Chánh,Hồ Chí Minh,663845,Tin miễn phí,Phòng trọ Huyện Bình Chánh, 50m,3.5
số 3/2,11,10,Hồ Chí Minh,663843,Tin thường,Cho thuê căn hộ dịch vụ Quận 10, 32m,8.7
Nguyễn Thị Thập,Tân Quy,7,Hồ Chí Minh,663848,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 35m,5
Phan Tây Hồ,7,Phú Nhuận,Hồ Chí Minh,606586,Tin thường,Phòng trọ Quận Phú Nhuận, 20m,3.2
Trần Xuân Soạn,Tân Hưng,7,Hồ Chí Minh,658073,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 40m,5.9
Nguyễn Thị Thập,Tân Quy,7,Hồ Chí Minh,663849,Tin thường,Cho thuê căn hộ dịch vụ Quận 7, 30m,5
Thành Thái,12,10,Hồ Chí Minh,663850,Tin miễn phí,Phòng trọ Quận 10, 16m,2.5
,Xuân Hà,Thanh Khê,Hồ Chí Minh,663262,Tin miễn phí,Cho thuê nhà Quận Thanh Khê, 200m,4.5
30/19  Nguyễn Hữu Cảnh,22,Bình Thạnh,Hồ Chí Minh,658229,Tin miễn phí,Tìm người ở ghép Quận Bình Thạnh, 30m,1.75
75 Phố Trung Liệt,Trung Liệt,Đống Đa,Hồ Chí Minh,663801,Tin miễn phí,Cho thuê mặt bằng Quận Đống Đa, 9m,5
số 25,Tân Quy,7,Hồ Chí Minh,660370,Tin thường,Phòng trọ Quận 7, 30m,5.9
số 7,10,Gò Vấp,Hồ Chí Minh,663805,Tin miễn phí,Phòng trọ Quận Gò Vấp, 20m,4.2
Nguyễn Kiệm,3,Gò Vấp,Hồ Chí Minh,663807,Tin miễn phí,Phòng trọ Quận Gò Vấp, 20m,4
,Bà Điểm,Huyện Hóc Môn,Hồ Chí Minh,663841,Tin miễn phí,Phòng trọ Huyện Hóc Môn, 23m,1.5
Hòa Bình,Phú Thạnh,Tân Phú,Hồ Chí Minh,663811,Tin thường,Phòng trọ Quận Tân Phú, 25m,2.7
Huỳnh Mẫn Đạt,7,5,Hồ Chí Minh,663868,Tin miễn phí,Cho thuê nhà Quận 5, 25m,17
113/17  Trần Quang Diệu,14,3,Hồ Chí Minh,663810,Tin miễn phí,Tìm người ở ghép Quận 3, 20m,5.5
1122  Quang Trung,8,Gò Vấp,Hồ Chí Minh,663869,Tin miễn phí,Tìm người ở ghép Quận Gò Vấp, 15m,1.5
,7,Phú Nhuận,Hồ Chí Minh,663870,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 45m,10
TK25  Nguyễn Cảnh Chân,Cầu Kho,1,Hồ Chí Minh,663814,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 1, 30m,5
35  Nguyễn Thanh Tuyền,2,Tân Bình,Hồ Chí Minh,662925,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Tân Bình, 33m,8.5
số 2,Phú Thuận,7,Hồ Chí Minh,654331,Tin thường,Phòng trọ Quận 7, 30m,5.5
,7,Gò Vấp,Hồ Chí Minh,633422,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.4
86  Nguyễn Thông,9,3,Hồ Chí Minh,129272,Tin thường,Tìm người ở ghép Quận 3, 30m,0.7
,13,Tân Bình,Hồ Chí Minh,663821,Tin thường,Phòng trọ Quận Tân Bình, 30m,3.9
Bùi Văn Ba,Tân Thuận Đông,7,Hồ Chí Minh,643955,Tin thường,Phòng trọ Quận 7, 30m,3.9
,Tân Thuận Đông,7,Hồ Chí Minh,645523,Tin thường,Phòng trọ Quận 7, 30m,3.5
Nguyễn Hữu Thọ,Tân Phong,7,Hồ Chí Minh,618203,Tin thường,Phòng trọ Quận 7, 16m,3.8
,11,Phú Nhuận,Hồ Chí Minh,661482,Tin miễn phí,Phòng trọ Quận Phú Nhuận, 12m,3
Nguyễn Thi,13,5,Hồ Chí Minh,292220,Tin thường,Phòng trọ Quận 5, 10m,1.5
155a  Triệu Quang Phục,11,5,Hồ Chí Minh,663872,Tin miễn phí,Phòng trọ Quận 5, 50m,7
359/21  Lê Văn Sỹ,10,3,Hồ Chí Minh,663873,Tin thường,Phòng trọ Quận 3, 25m,5
,Phú Trung,Tân Phú,Hồ Chí Minh,663876,Tin thường,Phòng trọ Quận Tân Phú, 25m,4.4
Tân Hương,Tân Quý,Tân Phú,Hồ Chí Minh,657272,Tin thường,Phòng trọ Quận Tân Phú, 25m,4.3
,11,6,Hồ Chí Minh,639968,Tin miễn phí,Tìm người ở ghép Quận 6, 30m,0.000675
170  Mỹ Đình,Mỹ Đình 2,Nam Từ Liêm,Hồ Chí Minh,663880,Tin miễn phí,Phòng trọ Quận Nam Từ Liêm, 28m,4
7A/9  Thành Thái,14,10,Hồ Chí Minh,283391,Tin thường,Phòng trọ Quận 10, 30m,4.5
40  số 31E,An Phú,2,Hồ Chí Minh,629507,Tin thường,Phòng trọ Quận 2, 28m,6.3
686/72/41  Cách Mạng Tháng Tám,11,3,Hồ Chí Minh,659139,Tin thường,Phòng trọ Quận 3, 22m,2.7
2 Phố Trung Kính,Yên Hòa,Cầu Giấy,Hồ Chí Minh,662361,Tin thường,Phòng trọ Quận Cầu Giấy, 20m,1.7
426  Láng,Láng Hạ,Đống Đa,Hồ Chí Minh,646736,Tin thường,Phòng trọ Quận Đống Đa, 20m,1.5
842/39/18  Tỉnh Lộ 10,Bình Trị Đông A,Bình Tân,Hồ Chí Minh,649897,Tin thường,Phòng trọ Quận Bình Tân, 20m,2
Dương Quảng Hàm,5,Gò Vấp,Hồ Chí Minh,615336,Tin thường,Phòng trọ Quận Gò Vấp, 90m,1.55
279  Đội Cấn,Liễu Giai,Ba Đình,Hồ Chí Minh,662256,Tin thường,Phòng trọ Quận Ba Đình, 25m,3.5
,10,Tân Bình,Hồ Chí Minh,663883,Tin thường,Phòng trọ Quận Tân Bình, 35m,4.5
,7,Gò Vấp,Hồ Chí Minh,632004,Tin thường,Phòng trọ Quận Gò Vấp, 35m,1.4
,8,11,Hồ Chí Minh,645605,Tin thường,Phòng trọ Quận 11, 40m,3.3
số 35CL,Cát Lái,2,Hồ Chí Minh,663885,Tin thường,Phòng trọ Quận 2, 20m,2.5
,26,Bình Thạnh,Hồ Chí Minh,663460,Tin thường,Phòng trọ Quận Bình Thạnh, 23m,4.5
,6,Gò Vấp,Hồ Chí Minh,663441,Tin thường,Phòng trọ Quận Gò Vấp, 25m,4.2
,5,Gò Vấp,Hồ Chí Minh,661970,Tin thường,Phòng trọ Quận Gò Vấp, 24m,4.1
,7,Gò Vấp,Hồ Chí Minh,663439,Tin thường,Phòng trọ Quận Gò Vấp, 20m,3.6
,Thạnh Mỹ Lợi,2,Hồ Chí Minh,641917,Tin thường,Phòng trọ Quận 2, 35m,4.8
463/1E  Cách Mạng Tháng Tám,13,10,Hồ Chí Minh,313569,Tin thường,Tìm người ở ghép Quận 10, 60m,0.65
,5,11,Hồ Chí Minh,652064,Tin miễn phí,Phòng trọ Quận 11, 12m,1.7
Hoàng Việt,4,Tân Bình,Hồ Chí Minh,663887,Tin miễn phí,Cho thuê căn hộ mini Quận Tân Bình, 45m,13.5
185  Thịnh Liệt,Thịnh Liệt,Hoàng Mai,Hồ Chí Minh,660572,Tin thường,Phòng trọ Quận Hoàng Mai, 20m,1.45
120  Ni Sư Huỳnh Liên,10,Tân Bình,Hồ Chí Minh,663926,Tin miễn phí,Cho thuê căn hộ mini Quận Tân Bình, 30m,7
Quốc Lộ 13,26,Bình Thạnh,Hồ Chí Minh,663886,Tin thường,Phòng trọ Quận Bình Thạnh, 30m,6.1
Qq5  Nguyễn Hữu Cảnh,19,Bình Thạnh,Hồ Chí Minh,663927,Tin miễn phí,Cho thuê căn hộ Quận Bình Thạnh, 50m,9
,17,Bình Thạnh,Hồ Chí Minh,642767,Tin thường,Phòng trọ Quận Bình Thạnh, 30m,6.2
,7,Phú Nhuận,Hồ Chí Minh,663888,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Phú Nhuận, 40m,7
185  Nguyễn Hữu Cảnh,22,Bình Thạnh,Hồ Chí Minh,635876,Tin thường,Phòng trọ Quận Bình Thạnh, 25m,5.3
92  Xô Viết Nghệ Tĩnh,21,Bình Thạnh,Hồ Chí Minh,663929,Tin thường,Phòng trọ Quận Bình Thạnh, 25m,5.5
Nguyễn Văn Thương,25,Bình Thạnh,Hồ Chí Minh,634762,Tin thường,Phòng trọ Quận Bình Thạnh, 30m,6.8
,Quan Hoa,Cầu Giấy,Hồ Chí Minh,663928,Tin miễn phí,Phòng trọ Quận Cầu Giấy, 30m,4.5
,2,Phú Nhuận,Hồ Chí Minh,663930,Tin thường,Phòng trọ Quận Phú Nhuận, 35m,6.7
325  Bạch Đằng,15,Bình Thạnh,Hồ Chí Minh,663931,Tin thường,Phòng trọ Quận Bình Thạnh, 40m,6.7
số 27,Tân Quy,7,Hồ Chí Minh,663945,Tin thường,Phòng trọ Quận 7, 18m,4
Phố Lý Thường Kiệt,14,10,Hồ Chí Minh,663932,Tin thường,Phòng trọ Quận 10, 25m,4.7
số 27,Tân Quy,7,Hồ Chí Minh,663947,Tin thường,Phòng trọ Quận 7, 22m,4.8
1365  Huỳnh Tấn Phát,Phú Mỹ,7,Hồ Chí Minh,663933,Tin thường,Phòng trọ Quận 7, 25m,3.8
1  Nguyễn Tư Giản,12,Gò Vấp,Hồ Chí Minh,663946,Tin thường,Phòng trọ Quận Gò Vấp, 35m,4
,Nguyễn Cư Trinh,1,Hồ Chí Minh,632900,Tin thường,Phòng trọ Quận 1, 33m,5.5
,9,11,Hồ Chí Minh,663526,Tin miễn phí,Phòng trọ Quận 11, 25m,4
Âu Cơ,10,Tân Bình,Hồ Chí Minh,663877,Tin thường,Phòng trọ Quận Tân Bình, 25m,4.5
Âu Cơ,Phú Trung,Tân Phú,Hồ Chí Minh,659920,Tin thường,Phòng trọ Quận Tân Phú, 25m,4.3
25  Hoa Sữa,4,Phú Nhuận,Hồ Chí Minh,663934,Tin miễn phí,Cho thuê căn hộ mini Quận Phú Nhuận, 70m,10
Nguyễn Sơn,Phú Thạnh,Tân Phú,Hồ Chí Minh,660982,Tin thường,Cho thuê căn hộ dịch vụ Quận Tân Phú, 40m,6
94/41/2  Phú Thọ Hòa,Phú Thọ Hòa,Tân Phú,Hồ Chí Minh,614941,Tin miễn phí,Phòng trọ Quận Tân Phú, 13m,1.8
,11,Tân Bình,Hồ Chí Minh,663949,Tin miễn phí,Phòng trọ Quận Tân Bình, 25m,4.5
25  số 7,10,Gò Vấp,Hồ Chí Minh,663421,Tin thường,Cho thuê mặt bằng Quận Gò Vấp, 30m,5.5
59  số 51,14,Gò Vấp,Hồ Chí Minh,646411,Tin miễn phí,Tìm người ở ghép Quận Gò Vấp, 30m,1.5
,Tân Quy,7,Hồ Chí Minh,663950,Tin thường,Phòng trọ Quận 7, 40m,5.3
Đặng Văn Bi,Trường Thọ,Thủ Đức,Hồ Chí Minh,626968,Tin thường,Phòng trọ Thủ Đức, 135m,1.5
58/6  Thành Thái,12,10,Hồ Chí Minh,131678,Tin thường,Phòng trọ Quận 10, 18m,2.5
Nguyễn Thái Sơn,5,Gò Vấp,Hồ Chí Minh,663951,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận Gò Vấp, 30m,4.9
Đặng Văn Bi,Trường Thọ,Thủ Đức,Hồ Chí Minh,626129,Tin thường,Phòng trọ Thủ Đức, 125m,1.5
Hẻm 205  Thoại Ngọc Hầu,Phú Thạnh,Tân Phú,Hồ Chí Minh,610731,Tin miễn phí,Phòng trọ Quận Tân Phú, 42m,4.5
129/60/1  Phan Văn Hớn,Tân Thới Nhất,12,Hồ Chí Minh,663750,Tin miễn phí,Phòng trọ Quận 12, 30m,4.5
1  số 13,Bình Hưng Hòa,Bình Tân,Hồ Chí Minh,663749,Tin miễn phí,Phòng trọ Quận Bình Tân, 20m,3.2
,Bình Trị Đông B,Bình Tân,Hồ Chí Minh,652362,Tin thường,Phòng trọ Quận Bình Tân, 20m,5.5
824/26  Sư Vạn Hạnh,12,10,Hồ Chí Minh,663751,Tin miễn phí,Phòng trọ Quận 10, 18m,1.5
