Đường,Phường,Quận/Huyện,Thành phố,Hashtag,Gói tin,Loại phòng,Diện tích (m²),Giá phòng (triệu/tháng)
Địa chỉ: 856 Phố Tạ Quang Bửu,Phường 5,Quận 8,Thành phố Hồ Chí Minh,293551,Tin miễn phí,Phòng trọ Quận 8, 25m,3.8
Địa chỉ: 223 Đường Phạm Văn Bạch,Phường 15,Quận Tân Bình,Thành phố Hồ Chí Minh,647935,Tin thường,Phòng trọ Quận Tân Bình, 25m,3.5
,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,661910,Tin thường,Phòng trọ Quận Tân Bình, 30m,3.3
,Phường Thạnh Mỹ Lợi,Quận 2,Thành phố Hồ Chí Minh,663962,Tin thường,Phòng trọ Quận 2, 30m,3.4
Địa chỉ: Đường Nguyễn Thị Định,Phường Bình Trưng Tây,Quận 2,Thành phố Hồ Chí Minh,663963,Tin thường,Phòng trọ Quận 2, 32m,4.5
Địa chỉ: 711 Đường Quốc lộ 1A,Phường Thạnh Xuân,Quận 12,Thành phố Hồ Chí Minh,639025,Tin thường,Phòng trọ Quận 12, 35m,3
Địa chỉ: Đường Cộng Hòa,Phường 4,Quận Tân Bình,Thành phố Hồ Chí Minh,663922,Tin thường,Cho thuê căn hộ mini Quận Tân Bình, 30m,5.5
,Phường Bình Hưng Hòa B,Quận Bình Tân,Thành phố Hồ Chí Minh,663727,Tin miễn phí,Cho thuê căn hộ Quận Bình Tân, 38m,3.4
,Phường 3,Quận 4,Thành phố Hồ Chí Minh,663921,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 4, 40m,6.5
Địa chỉ: Đường Trường Chinh,Phường 15,Quận Tân Bình,Thành phố Hồ Chí Minh,644645,Tin thường,Phòng trọ Quận Tân Bình, 30m,5
Địa chỉ: Đường Cộng Hòa,Phường 13,Quận Tân Bình,Thành phố Hồ Chí Minh,644738,Tin thường,Phòng trọ Quận Tân Bình, 25m,4.5
Địa chỉ: 35/13 Đường Đại Nghĩa,Phường 6,Quận Tân Bình,Thành phố Hồ Chí Minh,584579,Tin thường,Phòng trọ Quận Tân Bình, 12m,1.5
Địa chỉ: 28 Đường Dương Quảng Hàm,Phường 5,Quận Gò Vấp,Thành phố Hồ Chí Minh,663923,Tin miễn phí,Phòng trọ Quận Gò Vấp, 28m,4
Địa chỉ: 21Bis/5 Đường Điện Biên Phủ,Phường 25,Quận Bình Thạnh,Thành phố Hồ Chí Minh,663924,Tin miễn phí,Phòng trọ Quận Bình Thạnh, 25m,2.6
Địa chỉ: Đường Âu Cơ,Phường Phú Trung,Quận Tân Phú,Thành phố Hồ Chí Minh,663881,Tin thường,Phòng trọ Quận Tân Phú, 20m,4
Địa chỉ: Đường Tân Kỳ Tân Quý,Phường Sơn Kỳ,Quận Tân Phú,Thành phố Hồ Chí Minh,663812,Tin thường,Phòng trọ Quận Tân Phú, 25m,4.2
Địa chỉ: 493 Đường Cách Mạng Tháng Tám,Phường 13,Quận 10,Thành phố Hồ Chí Minh,655652,Tin thường,Phòng trọ Quận 10, 24m,3
,,,Không rõ,663798,Tin thường,Phòng trọ Quận 2, 20m,2.9
Địa chỉ: 416/34 Đường Nguyễn Đình Chiểu,Phường 4,Quận 3,Thành phố Hồ Chí Minh,663663,Tin thường,Phòng trọ Quận 3, 20m,3.2
,Phường 15,Quận 10,Thành phố Hồ Chí Minh,656538,Tin thường,Phòng trọ Quận 10, 12m,1.9
Địa chỉ: 474/41 Đường Nguyễn Tri Phương,Phường 9,Quận 10,Thành phố Hồ Chí Minh,647847,Tin thường,Phòng trọ Quận 10, 16m,3.5
