Đường,Phường,Quận/Huyện,Thành phố,duration_days,link,price,acreage,published,hashtag,package,category,public_date,expired_date
856 Phố Tạ Quang Bửu, Phường 5, Quận 8, Hồ Chí Minh,,https://phongtro123.com/tinh-thanh/ho-chi-minh/phong-dep-sach-full-noi-that-o-cc-hoang-anh-giai-viet-co-ho-boi.html,3.8 triệu/tháng, 25m,1 giờ trước,293551,Tin miễn phí,Phòng trọ Quận 8,,2024-09-13 13:11:00
223 Đường Phạm Văn Bạch, Phường 15, Quận Tân Bình, Hồ Chí Minh,,https://phongtro123.com/cho-thue-phong-tro-full-noi-that-gia-re-2-pr647935.html,3.5 triệu/tháng, 25m,1 giờ trước,647935,Tin thường,Phòng trọ Quận Tân Bình,,2024-09-09 22:20:00
45 Lê Văn Huân, Phường 13, Quận Tân Bình, Hồ Chí Minh,,https://phongtro123.com/cho-thue-phong-tro-sinh-vien-30m2-gan-truong-hoc-vien-hang-khong-pr661910.html,3.3 triệu/tháng, 30m,1 giờ trước,661910,Tin thường,Phòng trọ Quận Tân Bình,,2024-09-09 22:20:00
Trương Văn Bang, Phường Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh,,https://phongtro123.com/phong-tro-gac-cao-phong-moi-sach-dep-chi-3x-gan-mai-chi-tho-q2-pr663962.html,3.4 triệu/tháng, 30m,1 giờ trước,663962,Tin thường,Phòng trọ Quận 2,,2024-09-18 13:50:00
Đường Nguyễn Thị Định, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh,,https://phongtro123.com/cho-thue-tro-gac-cao1m8-ban-cong-cua-so-thoang-mat-gan-mai-chi-tho-phong-moi-gia-re-pr663963.html,4.5 triệu/tháng, 32m,57 phút trước,663963,Tin thường,Phòng trọ Quận 2,,2024-09-13 13:58:00
711 Đường Quốc lộ 1A, Phường Thạnh Xuân, Quận 12, Hồ Chí Minh,7.0,https://phongtro123.com/chdv-duplex-cao-cap-ngay-kdc-nam-long-nga-tu-ga-q12-giap-go-vap-pr639025.html,3 triệu/tháng, 35m,23 giờ trước,639025,Tin thường,Phòng trọ Quận 12,2024-09-07 15:41:00,2024-09-14 15:41:00
Đường Cộng Hòa, Phường 4, Quận Tân Bình, Hồ Chí Minh,5.0,https://phongtro123.com/studio-moi-xay-100-ngay-cong-hoa-cao-dang-y-khoa-pham-ngoc-thach-dai-hoc-cong-thuong-pr663922.html,5.5 triệu/tháng, 30m,22 giờ trước,663922,Tin thường,Cho thuê căn hộ mini Quận Tân Bình,2024-09-07 16:28:00,2024-09-12 16:28:00
68 Hương lộ 80, Phường Bình Hưng Hòa B, Quận Bình Tân, Hồ Chí Minh,2.0,https://phongtro123.com/can-ho-38m2-chung-cu-d-gold-1pn-chinh-chu-trung-tam-kdc-vinh-loc-pr663727.html,3.4 triệu/tháng, 38m,23 giờ trước,663727,Tin miễn phí,Cho thuê căn hộ Quận Bình Tân,2024-09-07 15:25:00,2024-09-09 21:19:00
Tôn Thất Thuyết, Phường 3, Quận 4, Hồ Chí Minh,5.0,https://phongtro123.com/cho-thue-can-ho-q4-gan-cau-kenh-te-pr663921.html,6.5 triệu/tháng, 40m,22 giờ trước,663921,Tin miễn phí,Cho thuê căn hộ dịch vụ Quận 4,2024-09-07 16:17:00,2024-09-12 16:17:00
Đường Trường Chinh, Phường 15, Quận Tân Bình, Hồ Chí Minh,5.0,https://phongtro123.com/duplex-ban-cong-full-noi-that-cao-cap-may-giat-ngay-khu-cong-nghiep-tan-binh-big-c-truong-chinh-pr644645.html,5 triệu/tháng, 30m,22 giờ trước,644645,Tin thường,Phòng trọ Quận Tân Bình,2024-09-07 16:30:00,2024-09-12 16:30:00
Đường Cộng Hòa, Phường 13, Quận Tân Bình, Hồ Chí Minh,5.0,https://phongtro123.com/cho-thue-can-ho-studio-cua-so-nay-hut-mui-full-noi-that-thang-may-bao-ve-ngay-etown-cong-hoa-pr644738.html,4.5 triệu/tháng, 25m,22 giờ trước,644738,Tin thường,Phòng trọ Quận Tân Bình,2024-09-07 16:29:00,2024-09-12 16:29:00
35/13 Đường Đại Nghĩa, Phường 6, Quận Tân Bình, Hồ Chí Minh,,https://phongtro123.com/phong-sach-thoang-san-rong-mat-loi-di-rieng-1-5-tr-danh-cho-sinh-vien-nguoi-doc-than-pr584579.html,1.5 triệu/tháng, 12m,22 giờ trước,584579,Tin thường,Phòng trọ Quận Tân Bình,2024-09-07 16:38:00,
